order_id,order_date,customer_id,product_id,store_id,campaign_id,sales_channel,quantity,unit_price,discount_pct,gross_sales,net_sales,total_cost,shipping_fee,payment_method
O10000,2024-10-14,CU0208,P018,S008,C000,Online,1,79,0,79,79,31,6.38,Credit Card
O10001,2025-09-21,CU0039,P007,S008,C000,Online,3,138,0,414,414,183,3.18,Credit Card
O10002,2025-12-10,CU0355,P001,S003,C000,Store,1,129,0,129,129,56,0,Credit Card
O10003,2025-12-13,CU0577,P007,S004,C000,Store,3,131.1,0.05,414,393.3,183,0,Credit Card
O10004,2023-02-11,CU0102,P014,S003,C000,Store,2,46.4,0.2,116,92.8,42,0,Credit Card
O10005,2025-05-22,CU0028,P013,S002,C000,Store,2,131.4,0.1,292,262.8,126,0,Credit Card
O10006,2025-03-23,CU0079,P012,S003,C302,Store,1,105.4,0.15,124,105.4,49,0,Credit Card
O10007,2023-10-02,CU0357,P014,S007,C000,Click & Collect,1,55.1,0.05,58,55.1,21,0,PayPal
O10008,2025-11-19,CU0576,P004,S008,C000,Online,2,82.8,0.1,184,165.6,76,4.15,Apple Pay
O10009,2025-03-29,CU0505,P014,S002,C000,Store,1,55.1,0.05,58,55.1,21,0,PayPal
O10010,2023-04-07,CU0224,P008,S008,C000,Online,2,30.6,0.1,68,61.2,24,9.11,Apple Pay
O10011,2025-01-13,CU0504,P005,S006,C000,Store,2,149,0,298,298,132,0,PayPal
O10012,2025-08-21,CU0198,P009,S008,C000,Online,3,22.8,0.05,72,68.4,24,9.66,Credit Card
O10013,2025-12-18,CU0114,P001,S007,C000,Store,2,116.1,0.1,258,232.2,112,0,Gift Card
O10014,2024-09-11,CU0684,P016,S001,C000,Store,2,207.2,0.2,518,414.4,264,0,Debit
O10015,2025-02-20,CU0126,P014,S008,C000,Online,1,49.3,0.15,58,49.3,21,3.5,Credit Card
O10016,2025-12-22,CU0535,P006,S004,C000,Click & Collect,4,119,0,476,476,208,0,Credit Card
O10017,2024-11-26,CU0460,P005,S008,C204,Online,2,149,0,298,298,132,11.16,Credit Card
O10018,2024-04-11,CU0297,P002,S001,C000,Store,1,66.6,0.1,74,66.6,28,0,Credit Card
O10019,2025-03-22,CU0090,P003,S002,C000,Associate Order,1,79.2,0.1,88,79.2,34,0,Debit
O10020,2024-12-14,CU0164,P008,S008,C204,Online,4,34,0,136,136,48,8.58,Debit
O10021,2024-05-05,CU0146,P017,S008,C000,Online,2,100.8,0.1,224,201.6,96,7.11,Debit
O10022,2024-10-12,CU0076,P017,S007,C000,Store,2,112,0,224,224,96,0,Gift Card
O10023,2024-05-12,CU0704,P007,S001,C000,Store,2,131.1,0.05,276,262.2,122,0,Debit
O10024,2024-08-01,CU0537,P014,S004,C000,Store,1,52.2,0.1,58,52.2,21,0,Debit
O10025,2024-03-27,CU0246,P016,S007,C000,Store,1,259,0,259,259,132,0,Debit
O10026,2024-07-19,CU0214,P011,S001,C000,Store,1,168,0,168,168,74,0,PayPal
O10027,2024-05-15,CU0241,P003,S002,C202,Store,1,88,0,88,88,34,0,Credit Card
O10028,2023-07-12,CU0395,P009,S008,C000,Online,2,24,0,48,48,16,8.03,Debit
O10029,2025-10-26,CU0375,P006,S004,C000,Click & Collect,3,107.1,0.1,357,321.3,156,0,Debit
O10030,2025-08-29,CU0054,P012,S003,C000,Store,2,124,0,248,248,98,0,Apple Pay
O10031,2023-03-23,CU0688,P009,S005,C000,Store,3,24,0,72,72,24,0,Credit Card
O10032,2025-04-06,CU0181,P018,S008,C302,Online,1,79,0,79,79,31,9.27,Gift Card
O10033,2025-10-20,CU0075,P018,S001,C000,Store,2,79,0,158,158,62,0,Credit Card
O10034,2025-07-12,CU0446,P003,S004,C303,Store,2,79.2,0.1,176,158.4,68,0,Credit Card
O10035,2023-05-28,CU0093,P005,S001,C000,Store,2,149,0,298,298,132,0,Debit
O10036,2025-02-14,CU0619,P011,S008,C301,Online,1,151.2,0.1,168,151.2,74,8.6,Credit Card
O10037,2024-09-16,CU0609,P017,S007,C203,Associate Order,1,112,0,112,112,48,0,Debit
O10038,2024-06-26,CU0304,P018,S004,C202,Store,1,79,0,79,79,31,0,Credit Card
O10039,2023-07-14,CU0476,P003,S008,C000,Online,2,79.2,0.1,176,158.4,68,7.66,PayPal
O10040,2025-12-26,CU0549,P006,S005,C000,Store,2,101.15,0.15,238,202.3,104,0,Credit Card
O10041,2025-10-19,CU0340,P002,S001,C000,Store,1,51.8,0.3,74,51.8,28,0,Credit Card
O10042,2025-11-07,CU0699,P001,S006,C000,Store,2,129,0,258,258,112,0,Apple Pay
O10043,2023-08-05,CU0634,P001,S008,C000,Online,2,103.2,0.2,258,206.4,112,5.39,Credit Card
